"renewables.opinion","alloc.fossil","alloc.wind","alloc.solar","alloc.hydro","alloc.nuclear","trump.approval","democrat","republican","libDem","conRep","age","male","white","edu","college","inc","trump.cue","climate.cue","control"
4,100,0,0,0,0,4,0,0,0,0,33,1,1,6,1,"6",1,0,0
2,20,15,15,5,45,1,0,1,0,0,42,1,1,5,1,"6",1,0,0
4,70,0,20,5,5,3,0,1,0,1,62,0,1,2,0,"8",1,0,0
1,0,20,15,11,54,1,1,0,1,0,35,1,1,3,0,"2",1,0,0
1,5,10,30,15,40,1,1,0,1,0,19,1,0,2,0,"2",1,0,0
1,0,20,40,20,20,1,1,0,1,0,27,1,1,1,0,"1",1,0,0
4,55,6,9,5,25,3,0,0,0,0,52,1,1,4,0,"5",1,0,0
2,30,15,20,10,25,3,0,1,0,1,36,1,1,5,1,"11",1,0,0
1,10,10,50,5,25,1,0,0,0,0,31,1,1,6,1,"4",1,0,0
2,10,23,37,15,15,2,0,1,0,1,50,1,1,4,0,"11",1,0,0
2,50,10,14,8,18,5,0,1,0,0,36,1,1,5,1,"11",1,0,0
1,25,25,18,11,21,1,1,0,1,0,36,1,1,5,1,"9",1,0,0
1,0,20,30,0,50,1,1,0,1,0,44,1,1,5,1,"7",1,0,0
1,20,40,30,10,0,1,1,0,1,0,69,1,1,1,0,"4",1,0,0
1,10,40,10,20,20,1,0,0,0,0,44,1,1,6,1,"8",1,0,0
1,0,50,50,0,0,1,0,0,0,0,44,1,1,4,0,"4",1,0,0
1,10,30,30,20,10,1,1,0,1,0,50,1,1,4,0,"11",1,0,0
1,10,15,50,10,15,1,1,0,1,0,32,1,1,6,1,"8",1,0,0
1,15,10,25,10,40,1,1,0,1,0,42,1,0,5,1,"8",1,0,0
3,12,10,17,19,42,2,0,1,0,1,37,1,1,6,1,"11",1,0,0
2,15,25,25,15,20,1,1,0,1,0,37,0,1,5,1,"8",1,0,0
1,20,23,27,23,7,1,1,0,1,0,40,1,1,2,0,"3",1,0,0
1,3,20,38,8,31,1,1,0,1,0,36,1,1,5,1,"9",1,0,0
5,51,5,15,7,22,5,0,1,0,1,42,1,1,5,1,"8",1,0,0
4,60,8,5,5,22,4,0,1,0,1,44,1,1,6,1,"8",1,0,0
1,2,40,38,20,0,1,1,0,1,0,76,0,1,2,0,"2",1,0,0
2,65,24,11,0,0,1,1,0,1,0,41,1,1,7,1,"11",1,0,0
2,10,20,20,20,30,1,1,0,1,0,37,1,1,3,0,"6",1,0,0
1,15,35,35,15,0,1,1,0,1,0,32,1,1,5,1,"4",1,0,0
4,25,17,24,24,10,4,1,0,0,0,43,1,1,5,1,"5",1,0,0
1,0,35,35,30,0,1,1,0,1,0,35,0,1,2,0,"5",1,0,0
4,60,15,10,10,5,4,0,1,0,1,47,1,1,4,0,"11",1,0,0
5,100,0,0,0,0,5,0,1,0,1,34,1,1,1,0,"3",1,0,0
1,10,25,32,19,14,1,1,0,0,0,41,1,1,5,1,"3",1,0,0
4,30,15,20,25,10,4,0,1,0,1,37,1,1,5,1,"4",1,0,0
1,0,14,16,0,70,1,1,0,1,0,34,1,1,2,0,"6",1,0,0
4,70,0,15,5,10,4,0,1,0,1,44,1,1,4,0,"2",1,0,0
2,0,50,30,20,0,2,0,0,0,0,29,1,0,1,0,"4",1,0,0
1,30,20,30,0,20,1,1,0,1,0,42,1,1,2,0,"4",1,0,0
5,54,2,10,2,32,5,0,1,0,1,41,0,1,6,1,"5",1,0,0
5,70,0,10,10,10,4,0,1,0,1,44,1,1,6,1,"4",1,0,0
4,30,15,20,15,20,2,0,0,0,0,41,1,1,5,1,"6",1,0,0
2,10,10,10,10,60,3,0,0,0,0,28,1,1,6,1,"6",1,0,0
1,5,30,30,15,20,1,1,0,1,0,34,1,1,6,1,"6",1,0,0
1,0,20,40,30,10,1,1,0,1,0,34,1,1,5,1,"11",1,0,0
3,36,25,10,7,22,4,0,1,0,1,36,1,1,3,0,"4",1,0,0
1,5,40,28,23,4,1,1,0,1,0,35,1,0,2,0,"1",1,0,0
2,35,20,25,20,0,2,0,1,0,1,44,1,0,6,1,"4",1,0,0
2,10,30,45,10,5,1,1,0,1,0,36,1,1,8,1,"8",1,0,0
2,23,30,26,11,10,1,1,0,0,0,38,0,0,2,0,"3",1,0,0
1,0,30,30,28,12,1,1,0,1,0,38,1,0,4,0,"2",1,0,0
4,2,0,3,5,90,3,0,1,0,0,55,1,1,5,1,"5",1,0,0
2,37,20,15,10,18,1,1,0,1,0,20,1,1,1,0,"3",1,0,0
5,95,1,1,1,2,5,0,1,0,1,74,0,1,2,0,"10",1,0,0
3,60,5,5,10,20,2,0,0,0,0,37,1,1,6,1,"6",1,0,0
1,0,0,0,0,100,1,1,0,1,0,32,1,1,2,0,"3",1,0,0
5,75,5,5,5,10,5,0,1,0,1,42,1,1,5,1,"3",1,0,0
3,10,25,35,10,20,2,0,1,0,0,32,1,1,5,1,"6",1,0,0
1,35,25,25,5,10,1,1,0,1,0,41,0,0,6,1,"5",1,0,0
1,20,25,15,10,30,1,1,0,1,0,32,1,0,5,1,"4",1,0,0
2,5,10,8,7,70,2,0,0,0,0,39,1,0,2,0,"6",1,0,0
1,30,15,15,15,25,1,1,0,1,0,42,1,0,1,0,"4",1,0,0
3,25,10,10,10,45,1,0,0,0,0,38,1,0,5,1,"4",1,0,0
1,20,18,17,15,30,1,1,0,1,0,53,1,0,5,1,"11",1,0,0
3,55,12,10,7,16,4,0,1,0,0,27,1,0,5,1,"7",1,0,0
1,8,35,41,16,0,1,1,0,1,0,48,1,0,5,1,"3",1,0,0
5,50,5,5,10,30,4,0,1,0,1,65,1,0,5,1,"8",1,0,0
